Week_End_Date,Year,Week,PE_Ratio,SP500_Price,Notes
2025-09-05,2025,36,30.07,6481.5,Updated 2025-09-05 21:31
2025-09-12,2025,37,30.56,6584.29,Updated 2025-09-12 21:31
2025-09-19,2025,38,30.78,6664.36,Updated 2025-09-19 21:31
2025-09-26,2025,39,30.58,6643.7,Updated 2025-09-26 21:31
2025-10-03,2025,40,31.12,6715.79,Updated 2025-10-03 21:31
2025-10-10,2025,41,31.21,6552.51,Updated 2025-10-10 21:31
2025-10-17,2025,42,30.71,6664.01,Updated 2025-10-17 21:31
2025-10-24,2025,43,31.24,6791.69,Updated 2025-10-24 21:32
2025-10-31,2025,44,31.62,6840.2,Updated 2025-10-31 21:31
2025-11-07,2025,45,30.35,6728.8,Updated 2025-11-07 21:31
2025-11-14,2025,46,30.43,6734.11,Updated 2025-11-14 21:33
2025-11-21,2025,47,29.52,6602.99,Updated 2025-11-21 21:32
2025-11-28,2025,48,30.79,6849.09,Updated 2025-11-28 21:32
2025-12-05,2025,49,31.0,6870.4,Updated 2025-12-05 21:33
2025-12-12,2025,50,31.23,6827.41,Updated 2025-12-12 21:33
2025-12-19,2025,51,30.64,6834.5,Updated 2025-12-19 21:34
2025-12-26,2025,52,31.28,6929.94,Updated 2025-12-26 21:33
2026-01-02,2026,1,30.89,6858.47,Updated 2026-01-02 21:32
2026-01-09,2026,2,31.24,6966.28,Updated 2026-01-09 21:34
2026-01-16,2026,3,31.37,6940.01,Updated 2026-01-16 21:35
2026-01-23,2026,4,31.22,6915.61,Updated 2026-01-23 21:35
2026-01-30,2026,5,31.45,6939.03,Updated 2026-01-30 21:39
2026-02-06,2026,6,29.18,6932.3,Updated 2026-02-06 21:41
2026-02-13,2026,7,29.9,6941.81,Updated 2026-02-10 21:44
